record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
510062,phase_4_arm_1,72,52,1
510063,phase_4_arm_1,75,59,2
510086,phase_4_arm_1,72,48,2
510102,phase_4_arm_1,70,54,2
510104,phase_4_arm_1,68,56,1
510114,phase_4_arm_1,67,47,2
510115,phase_4_arm_1,69,49,1
510126,phase_4_arm_1,73,60,1
510130,phase_4_arm_1,73,57,1
510169,phase_4_arm_1,73,46,2
510194,phase_4_arm_1,71,53,2
510207,phase_4_arm_1,72,56,2
510215,phase_4_arm_1,72,55,2
510237,phase_4_arm_1,73,57,1
510242,phase_4_arm_1,69,57,2
510243,phase_4_arm_1,66,25,1
510249,phase_4_arm_1,67,60,1
510259,phase_4_arm_1,67,54,1
510269,phase_4_arm_1,68,53,1
510284,phase_4_arm_1,68,47,2
510321,phase_4_arm_1,71,58,1
510343,phase_4_arm_1,73,53,2
510392,phase_4_arm_1,74,57,2
510433,phase_4_arm_1,68,51,2
510473,phase_4_arm_1,72,58,2
510474,phase_4_arm_1,73,54,2
510480,phase_4_arm_1,74,54,1
510483,phase_4_arm_1,67,57,2
510486,phase_4_arm_1,70,56,1
510498,phase_4_arm_1,74,60,2
510502,phase_4_arm_1,66,57,1
510505,phase_4_arm_1,69,54,2
510548,phase_4_arm_1,69,53,2
510568,phase_4_arm_1,66,59,1
510590,phase_4_arm_1,73,60,1
510609,phase_4_arm_1,65,40,2
510621,phase_4_arm_1,68,51,2
510639,phase_4_arm_1,69,51,2
512003,phase_4_arm_1,69,59,1
520002,phase_4_arm_1,70,59,2
520003,phase_4_arm_1,68,55,2
520005,phase_4_arm_1,72,51,2
520011,phase_4_arm_1,66,58,1
520017,phase_4_arm_1,66,53,1
520024,phase_4_arm_1,65,54,2
520065,phase_4_arm_1,67,57,1
520075,phase_4_arm_1,71,59,2
520076,phase_4_arm_2,68,54,2
520078,phase_4_arm_1,70,58,2
520080,phase_4_arm_1,70,51,1
520091,phase_4_arm_1,72,59,2
520127,phase_4_arm_1,72,57,2
520134,phase_4_arm_1,73,59,1
520136,phase_4_arm_1,71,57,1
520137,phase_4_arm_1,66,47,2
520175,phase_4_arm_1,67,55,1
520203,phase_4_arm_1,67,59,1
520220,phase_4_arm_1,71,58,2
520221,phase_4_arm_1,72,55,1
520227,phase_4_arm_1,66,56,1
520239,phase_4_arm_1,71,59,2
520240,phase_4_arm_1,67,54,1
520242,phase_4_arm_1,70,54,1
520251,phase_4_arm_1,67,58,2
520253,phase_4_arm_1,65,54,2
520254,phase_4_arm_1,72,51,1
520280,phase_4_arm_1,67,58,1
520290,phase_4_arm_2,64,57,1
520341,phase_4_arm_1,69,55,1
520349,phase_4_arm_1,71,51,2
520352,phase_4_arm_1,67,55,2
520354,phase_4_arm_1,73,57,1
520376,phase_4_arm_1,72,51,2
520390,phase_4_arm_1,71,56,1
520391,phase_4_arm_1,70,57,2
520398,phase_4_arm_1,66,52,2
520404,phase_4_arm_1,73,58,2
520409,phase_4_arm_1,66,50,2
520419,phase_4_arm_1,69,58,2
520424,phase_4_arm_1,69,56,1
520442,phase_4_arm_1,72,56,1
520447,phase_4_arm_2,65,53,1
520451,phase_4_arm_1,64,53,2
520477,phase_4_arm_1,71,56,1
520480,phase_4_arm_1,66,56,1
520505,phase_4_arm_1,68,19,2
520515,phase_4_arm_1,73,54,1
520517,phase_4_arm_1,71,53,2
520542,phase_4_arm_2,71,54,1
520557,phase_4_arm_1,65,57,2
520560,phase_4_arm_1,71,54,2
520568,phase_4_arm_1,73,55,2
520571,phase_4_arm_1,72,59,1
520586,phase_4_arm_1,69,57,1
520589,phase_4_arm_2,69,57,1
520604,phase_4_arm_1,67,57,2
520626,phase_4_arm_1,65,53,1
520638,phase_4_arm_1,65,58,2
520644,phase_4_arm_1,67,55,2
520652,phase_4_arm_1,72,57,2
520669,phase_4_arm_2,65,59,2
520683,phase_4_arm_1,69,56,1
520710,phase_4_arm_1,67,58,2
520712,phase_4_arm_2,66,59,
520724,phase_4_arm_1,66,57,2
520734,phase_4_arm_1,68,47,1
520745,phase_4_arm_1,68,58,1
520785,phase_4_arm_2,69,54,2
520789,phase_4_arm_1,65,58,1
520794,phase_4_arm_1,74,49,2
520797,phase_4_arm_1,67,47,2
520801,phase_4_arm_2,67,56,2
520817,phase_4_arm_1,68,58,1
520862,phase_4_arm_1,66,58,1
520877,phase_4_arm_1,65,56,2
520886,phase_4_arm_1,65,57,2
520903,phase_4_arm_1,69,57,1
520912,phase_4_arm_1,67,53,2
521026,phase_4_arm_1,65,59,1
521066,phase_4_arm_2,71,54,1
521094,phase_4_arm_2,72,56,1
521167,phase_4_arm_2,68,57,1
521353,phase_4_arm_1,70,58,
610010,phase_4_arm_1,80,56,2
610040,phase_4_arm_1,80,51,2
610042,phase_4_arm_1,77,56,1
610046,phase_4_arm_1,80,55,2
610050,phase_4_arm_1,79,39,2
610062,phase_4_arm_1,79,51,2
610075,phase_4_arm_1,85,50,2
610076,phase_4_arm_1,84,51,1
610099,phase_4_arm_1,76,59,2
610103,phase_4_arm_1,83,52,2
610153,phase_4_arm_1,84,57,1
610210,phase_4_arm_1,82,54,2
610244,phase_4_arm_1,83,58,2
610250,phase_4_arm_1,81,57,2
610256,phase_4_arm_2,77,60,2
610272,phase_4_arm_1,79,57,2
610285,phase_4_arm_1,78,44,2
610288,phase_4_arm_1,76,53,2
610308,phase_4_arm_1,76,46,2
610317,phase_4_arm_1,83,58,2
610327,phase_4_arm_1,82,26,2
610338,phase_4_arm_1,75,60,2
610359,phase_4_arm_1,76,46,2
610374,phase_4_arm_1,76,57,1
610386,phase_4_arm_2,80,59,2
610392,phase_4_arm_1,82,55,2
